Emotion,Clean_content,Sentiment
sadness,didnt favorite spotters tweet phone,Positive
worry,love lt host lmao,Positive
worry,need hug cuz garbage truck men driving whistling im working hard graduate,Negative
worry,got today misses friend,Neutral
sadness,im buffet palms stomach actually hurts ugh gluttony bites,Positive
worry,hate going online looking balance bank lot lower need,Negative
happiness,planning install windows tomorrow probably new posts days,Negative
worry,need hug pitching lackluster shortstops cant field amp big papi cant mendoza line,Neutral
worry,headache,Neutral
sadness,play tennis bel air courts wet play,Negative
worry,friends,Neutral
worry,hurt left knee night hurts walk,Neutral
sadness,charlies roastbeef mostaza manejamos wtf,Negative
sadness,ex boyfriend years broke months ago engaged gf weeks sad embarrassed hug,Negative
worry,money problems bad days,Negative
worry,wind crampin style section yard wont water id sprinkler surrounded mud,Neutral
sadness,slow tix,Negative
sadness,shits depressing,Negative
worry,horrific fight school glad ok friday,Neutral
worry,lucky im working hours,Positive
happiness,ahhh sooo happy ashley tisdale germany oberhausen tv clock,Positive
sadness,sowoke time workboo,Neutral
worry,hello beautiful hows mariahs baby jackie isnt talkin called n left message day,Positive
sadness,happiness chinese totally disappointed food usually good fail,Positive
worry,sad david leaving tomoro week,Negative
worry,heart burn,Neutral
happiness,dang time blip song unavailable,Neutral
worry,gprof problem mac,Neutral
worry,wassup bad day good,Negative
sadness,link isnt working,Neutral
worry,computer slow especially typing,Negative
worry,link didnt work,Neutral
anger,internet painfully slow today,Negative
worry,sunny today alas new product etsy,Negative
worry,whooaaa got overwheolming itus attack eating,Neutral
worry,direct message blogging brown sista hasnt mastered technique lol,Positive
sadness,sadly david tennant left dont particularly want job,Positive
worry,interruption service phone missed tuesday morning,Neutral
sadness,happydont know reason,Neutral
worry,bit devastated lost entire documents folder home computer,Neutral
enthusiasm,time week play wow stuck quotauthenticatingquot,Positive
sadness,im upset cuz agrees,Neutral
sadness,apparently getting anymore sad,Negative
worry,dr office abbies second round shots,Negative
sadness,need sit insides hurt ughhh,Neutral
happiness,oh wow thanks info,Positive
worry,great finally meet night wish time talk cant coffee gtgs day job,Positive
worry,omg right ear blocked annoying wake deaf gon na lie im scared,Negative
sadness,migranes leaves arthritis andor gout,Neutral
worry,webcam wont work evil stuffs,Negative
sadness,argh,Neutral
worry,kid sick thoi cant cant like crazy stalker,Negative
sadness,possibly going tonight lancaster miss baltimore,Neutral
worry,need hug im junior cert week im totally stressed,Negative
sadness,beggar making feel homesick,Neutral
sadness,know lame,Negative
happiness,thinks gon na rain,Neutral
worry,aww hope feel better soon,Positive
worry,saddens youre youtube changed like youtube kid different,Negative
worry,feels lonely followers,Negative
worry,cricket beer sunshine good apart beer cause im tablets,Positive
enthusiasm,lazy day awesome,Positive
sadness,rope witdrawal effect tie teaching demos play worst play,Negative
worry,including guess umma partying againlol,Neutral
worry,honestly cant wait wednesdays chemistry exam getting real bad,Negative
sadness,rachael makes want cry,Neutral
worry,internet service acting strange earthquake found submarine fiber optics cable got damaged,Negative
sadness,sorry reach url,Negative
worry,list elses list whats point im popular,Negative
sadness,feeling today ugh cant home,Neutral
sadness,eyes hurt,Neutral
happiness,oh hella forgot official good morning like hear goooooooooooood morrrrrrrrning twitterville lol,Positive
sadness,yeah didnt realize bad till,Negative
sadness,today work tomorrow,Neutral
sadness,lazy rain gymampamptanning possibe work ampamp small social gathering tha corner,Negative
sadness,cant blood year getting tattoo cant giveim gutted,Neutral
worry,need skateboard,Positive
worry,r u wearing black polkadot dress n green cardigan cant find u,Negative
worry,going hate baby,Negative
sadness,head huwwts,Neutral
anger,straighteners pounds pricey,Neutral
sadness,work,Neutral
sadness,lol yea fondue point chocolate lava cake wantbut wont im monfri babes,Positive
sadness,thats proof theres fair world,Positive
worry,ubertwitter giving error msg smh sucks,Negative
happiness,awww poor know youre bless,Positive
worry,sorry hear wish words better,Neutral
sadness,ive offered fred loan moniiieeeess,Neutral
worry,yeah weather ruined plans gon na beach,Neutral
happiness,thanks legolas fellowship google wave like demoed means quotdiseasequot,Positive
worry,guys figure saturday wanted mom sick hospital tampa,Negative
worry,hubby promised job promotion didnt signed new lease n withdrew promotion,Positive
sadness,know need things life constant,Neutral
sadness,youtube working properly cant watch videos failing load,Neutral
happiness,everyones going think im gold digger hahahaha,Positive
worry,dog nemo cause wimpers morning leave,Neutral
worry,listen blip sent,Neutral
sadness,luck goin forum im person earth goin,Neutral
sadness,starving alyssas mom bring subway,Neutral
enthusiasm,wish groupchat theme adium suited irc ymous way low contrast,Positive
happiness,doctors office woooo fun wotk cant afford,Positive
worry,saw black snake garden went picture gone,Negative
sadness,new headphones mp player,Positive
worry,trouble syncing iphone work exchange email help,Negative
sadness,cant swimmin,Positive
enthusiasm,workin la bootay wheres warm weather,Positive
worry,sunburn knees,Neutral
worry,sigh doesnt sound happy,Positive
worry,sadly going cancel chicago trip week,Negative
worry,mood shrimp scampi dont vermouth,Neutral
worry,today going relaxing like hoped,Neutral
sadness,sweet englands lamer lamer guys left,Positive
worry,media havnet found ipod,Neutral
worry,layed teachers city near wonder thinking going jobfield,Positive
sadness,got haircut felt like guy quotlast samuriquot forced ponytail cut,Negative
sadness,yes think changed sent u happy mothers day text u responded,Positive
sadness,courthouse happy job sad,Positive
sadness,wish enjoy girls day,Positive
worry,sure got credit end bookim sure forgot people,Positive
worry,phone arvest girl phone breathing mic phone sound good darth vader,Positive
sadness,gone,Neutral
sadness,im work super bored,Negative
sadness,cold beach sucky,Negative
sadness,sitting sculpting tiny koi,Neutral
worry,order chips unhealthy getting burrito chipotle qdoba doesnt feel right em,Positive
worry,totally need doctor armthis bitch hurtin like hell shall return,Neutral
happiness,enjoying weather work shift,Positive
sadness,ok feel like need cry cant believe years ill walking stage high school diploma,Negative
sadness,saw webc awesome loved songs im sad cuz couldnt wake early started,Positive
sadness,pay sales taxgreat worse mom pop businesses double pay business licenses,Positive
happiness,cool day charlie ben aswell got lost stung nettles,Positive
sadness,stressin hcore supposed cleaning room feels like crap,Negative
happiness,anywayss point dying spend summer hot guys,Positive
worry,feel like shitand continue long takes,Negative
worry,suffering hayfever drowsy piriton heading bed air purifier,Positive
sadness,lunch pouring rain ugh ohh gets death cab cutie mood,Negative
sadness,bask misery,Neutral
worry,let know goes im praying ummmph cant believe,Neutral
worry,know packing youre making poor lauren,Negative
enthusiasm,sushi joint closed nice lunch w angel,Positive
sadness,feel super sick,Negative
sadness,lt google wish theyd spend bit time adding bits chrome,Positive
happiness,quotnow neverquot makes cry everytime lol,Positive
worry,going funeral,Neutral
worry,worried sick granddaughter shes hasbro possibly needing shunt revised means surgery,Negative
worry,rude fof poor girl hope recovered awful site,Negative
sadness,head bruised bad,Negative
worry,ruby luster cant nyc performance,Neutral
sadness,hate pain,Negative
worry,day favorite teacherim sad,Neutral
sadness,im trying find pic twitter ihave big cant upload shall remain faceless lol,Positive
worry,ozzy vet feeling looks sad possible uti results tomorrow,Negative
sadness,wtf kinda best friend havent met hubby depresses,Positive
sadness,room,Negative
worry,zoita cardio apt day doc says holeintheheart hasnt closed shell need surgery close,Positive
worry,tried pincode says expired,Neutral
worry,rough start day taking spread bad vibes hope great weekend im outty,Positive
sadness,im mad wont ughhh,Negative
worry,hungry cant leave lunch,Neutral
sadness,man sinuses r buggin morning,Positive
sadness,interesting evening homeless people venice beach night wishing camera model releases,Positive
worry,irma vep rehearsals nonot,Positive
worry,ouch stomachace ate lot,Neutral
sadness,california sunny makes kinda sad,Negative
worry,gah think like wes carr thats wrong good come australian idol song catchy fuck,Negative
worry,hi bruce trying eat healthy kinda scary read quoteat thatquot maggots rat hair food,Positive
worry,help,Neutral
worry,cant sleep amp,Neutral
happiness,im gon na miss guys thanks making years senior school amazing,Positive
happiness,start true franchise online mode dynasty huge madden online league,Positive
sadness,oasis ribena toughest decision everrr,Neutral
worry,year graduationi pretty sure im ready,Positive
happiness,got concert mistakes kinda failed macedonian test relatives serbia woohoo,Negative
enthusiasm,school boring people playing country sucks xd,Negative
happiness,whew night day summer werevery sad jesss grad party tonight,Negative
happiness,watched quotfinal breakquot final prison break episode great farewell prison break dearly missed,Positive
worry,yarn arriving monday dont know whats shipment dye,Positive
worry,im gettin ready trip dont wan na leave,Positive
worry,wont reply,Neutral
worry,yaaawn stayed late night got ta work amp super early tomorrow,Positive
enthusiasm,want know feeling im ready head mountains wont till july,Positive
sadness,quotwe close quot mean quotcome quot ffs people rip polly,Positive
worry,brought bad weather states,Negative
enthusiasm,,Neutral
enthusiasm,mouth sore wear stupid retainers teeth dont crookedin news got new swimsuit laps,Negative
happiness,burnt agenn nice day tho xxx,Positive
happiness,tried teriyaki cookie tho got non winning poptarts great,Positive
sadness,fuck blinkweezer totally forgot,Negative
worry,ball bb working read text messagesholla dont text,Neutral
sadness,sorry bout migraine mention liked cissbury sp pic week,Positive
worry,ok airport flightwas pm havent boarded,Positive
worry,work tomorrow,Neutral
sadness,wish want stay play u guys enjoy block party,Positive
sadness,alright wish guys couldve tennessee cant shows,Negative
worry,need food took hour work morning leaving time morning coffee bagel,Neutral
sadness,follow sad lol,Positive
worry,jonas demi miss niiick soul asasgdygyasdgy,Neutral
sadness,shoot miles,Neutral
worry,time live got little pop taskbar saying files corrupt needed run chkdisk,Negative
sadness,lost dog poor girl,Negative
sadness,lmao sure luck,Positive
worry,dont know imei number tracked india,Neutral
worry,panchitos burfday party tonight wish kiddo,Neutral
worry,crazy morning,Negative
worry,damn got math test today,Neutral
worry,hve graduation practiceall im gon na walk,Neutral
anger,motherfuck qw,Neutral
sadness,girl hall says cat got landlord showing apt heartbreaking,Positive
worry,watching gilmore girls reruns dont know day,Neutral
sadness,feeling bad little sister lot money saab took coverage week totalled yesterday,Negative
worry,unfortunately didnt purpose itunes shuffle followed dreadzone liferuin musictrauma,Negative
sadness,trying spending time away realitybroke heart,Neutral
sadness,oh poor bears nightmare wrestled huge snake,Positive
worry,haha yea feel like taken wrong direction cool place mess,Negative
worry,epsilon greater zero misses mommy,Positive
worry,feeling sad today,Negative
happiness,foot think let international twitter haha,Positive
worry,unfortunately miss girl bros radio tonight midst night writing session,Negative
worry,work ded tonite tho eeeeeee,Neutral
sadness,want ben jerrys lol tweet people im bored,Positive
worry,cant believe find waydont ppl contact family im sad,Negative
sadness,feelin day,Neutral
worry,come car thing sucks feel anxious yucky,Negative
worry,hello im feeling lonely,Negative
sadness,going engagement party tommorrow night stepping soapbox,Neutral
sadness,itll delivered friday looonnnng way away people guess ill laundry week mils,Neutral
worry,sitting science freezing days,Neutral
worry,watching hollyoaks hoping justin isnt die,Neutral
sadness,im thinking staying till tomorrow philly nite wan na stay bad,Negative
worry,maths seriously hate,Negative
sadness,feeling peckishno dinner hours wah,Negative
worry,cut hand open,Neutral
happiness,cambie slightly event leave waiting feedback ill u posted,Negative
worry,ha dunno standing rough today hurts talk,Negative
worry,im far wan na home,Positive
worry,headache heat,Neutral
sadness,way lake geneva miss laura,Neutral
happiness,going tonight finally wanty lie park cinema bound looks,Neutral
happiness,dream hanging friends good woke werent,Positive
worry,going upset daughter bitmr rat took sudden turn worse didnt,Negative
worry,feel good today,Positive
sadness,know falls right pm time like right middle day,Positive
sadness,miss think like retrina,Positive
sadness,tryed day werent giving,Negative
worry,shelters look hope okay afraid going hit car cant stop crying,Negative
sadness,like waking slow morning docs appt today,Negative
worry,nice food mam bay likely room tonight b isnt mingin burger kitchen,Positive
happiness,went got pedicure manicure daii den sunbathed daii best day eva oh yehdid teeny bit study,Positive
sadness,went vid didnt work im sad,Negative
sadness,missed friggin hair appt,Neutral
sadness,oh means wont able pwned shottie weekend,Positive
worry,want soldiers come home dont hear anymore killed,Negative
sadness,hillsong tom night dads birthday wish bday,Neutral
worry,degree centigrade hotter degree centigrade,Positive
enthusiasm,cant wait leave work,Neutral
happiness,got doctor dont need surgery yayyy knees fucked gon na better,Negative
sadness,didnt time morning way town pic sad,Negative
worry,way thats unfortunate hear thanks heads,Negative
worry,dont good funerals crying way contagious,Positive
worry,want soldiers come home dont hear anymore killed,Negative
worry,little bit upset ppl jerk,Negative
worry,pretty sure im sat wrong train going wrong way bah,Negative
sadness,handwriting isnt making fun im sitting myseld lrc,Positive
sadness,hes bed sick heavy fever went drs reason im watching aladdin havent fed,Negative
worry,taps shoulder forgotten,Neutral
worry,stuck inside nice outside,Positive
sadness,sucks delete,Negative
worry,honestly folks microsoft ms word cant believe spent minutes finding auto correct options,Positive
happiness,planting gardenhope sun shine soon,Neutral
worry,feeling sick probably summer flu,Negative
worry,dont know click doughnut pictures lol end wanting,Positive
sadness,hate taking lily doc shots makes super sad,Negative
worry,oh dear sunburned,Neutral
worry,yeah need hugcuz sick,Negative
worry,apparently dad thinks ok stalk twitter worst week hate life,Negative
worry,meeting want coffee right cuz didnt sleep,Positive
worry,frustrated twittermy picture load,Negative
worry,wheater austria bad weekend sorry,Negative
worry,miss cousin,Positive
worry,couldnt respond cuz maxed,Neutral
sadness,hate cat pee,Negative
worry,video set private,Neutral
sadness,sucks hope find new job soon,Negative
worry,im confused weather gon na sunny gon na rain,Neutral
sadness,wow got killed wave horde gears fail,Negative
worry,creased nikes ohh,Neutral
worry,working like allways hope good day havent talked mrgoofy hours cant possiabally good,Positive
sadness,got nom noms favourite restaurant haarlem im sad miss eating food incredible,Positive
happiness,day spai missed place headed fort collins close casa de kent,Positive
worry,arrghh stupid eczema soon sort,Negative
worry,latenow hurts,Neutral
sadness,worked car plant oncenobody believes repect hard workin folks world,Negative
sadness,runny nose cant breathe terrible feeling,Negative
worry,iphone today want morning virginia beach dont think,Neutral
worry,e arts stephanis horse fell wet ground landed head,Negative
sadness,oh youre gon na break wyour ups guy,Neutral
worry,think thats going didnt time scan photo shop stuff work,Neutral
happiness,awee,Neutral
sadness,sooooooooo funny computer computer render draw come revit autocad bad,Negative
worry,tired lot looking forward tabletop gaming tomorrow break constant programming,Negative
happiness,currently playing list,Neutral
sadness,peeps coming chitwn today weekend hang w dont time workin,Neutral
worry,follow friday burden want add forget people,Neutral
worry,cruising quotserious eats nyquot bode future ga missing nyc gastronomical tour,Negative
sadness,bored lonely work,Negative
sadness,stratus going bye bye today loved car high school,Positive
worry,ran worm skating poor wormie glad,Positive
anger,gas plus money desperation thats word day,Neutral
happiness,cancel disney trip year thrilled,Positive
worry,sorry hear,Negative
worry,apologies dont fix hurt feelings kev ill u time c u,Neutral
worry,sick went bed woke feeling dead,Negative
sadness,la unified summer schools drastically cut budget cuts sad,Negative
worry,yo happened invite,Neutral
sadness,oh wish lay sun gardenlol,Neutral
worry,want starbucks right needing find tonight,Positive
sadness,ooc sorry missing,Negative
worry,hey maria im sorry think accidentally disconnected thank trying headed site soon,Negative
enthusiasm,dont want warren die hes awesome character hate clare fucking die,Negative
happiness,good hanging dad day looking job,Positive
happiness,know join freekin club,Neutral
sadness,sadly late traceycakes got yummy tea w wee wknd,Negative
sadness,moment foward imma spend money wisely dress shoe shopping week pigging fav rest,Negative
happiness,ohh fun night slimes miss place,Positive
worry,gosh anoher cloudy day wish away rain,Neutral
worry,dangitcuz weather house painting going dragged till week,Neutral
sadness,reeeally wish havent n whilewhats goin lately,Negative
sadness,hates seafoodesp smell happened serve lobster chow hall noooowww got ta headache ugh smh,Neutral
anger,bad thingsi need stop thinking,Negative
worry,little felted thing looks like incestuous product lovelies,Negative
worry,hope meant hour shift ya nasty poor guy way,Negative
worry,probably wasnt commandbet dont understand pay fantasy football droids look,Neutral
happiness,ordered cuuutest invitations new nieces christening arrived sa sorry wont,Negative
sadness,know drizzling way work hope warms weekend,Neutral
worry,tryin motivated downtown meet girl friends kinda dont want cancel,Neutral
happiness,wish,Positive
sadness,miss isi want come homeseriously,Negative
worry,exams days im prepared dead,Negative
worry,got hospital jimmys badplease send good thoughts im worried,Positive
worry,depends want itive poor,Negative
worry,u miss hope sending big hugs,Neutral
sadness,ok home pizza tonight horrors ive run anchovies,Positive
worry,lol dammit time,Positive
happiness,got ta video public dear lol cant,Positive
worry,link doesnt wor,Neutral
worry,got ta doctor morning feel sick right barely talk im yelling house lol,Positive
worry,kickboxing classes today pretty bummed going work hard,Negative
sadness,wasnt feeling,Neutral
worry,giii help wana find gorgeous dress prom long mid length short uk help,Positive
anger,break twitterparty im home soon,Neutral
worry,ugh missed potus guys blocks house blocks job,Neutral
worry,got firefox working bookmarks,Neutral
happiness,wearing exactly clothes wear canada beanie touque ahh brings memories miss snow,Positive
worry,im gon na miss im crying right,Negative
happiness,san diego right pretty cold im waiting suck surf love,Positive
worry,wah im gon na miss bowie people esp alyanna bondoc lt cesar dlt dunno survive sosa,Neutral
happiness,funny msg fb time actual link today received messages,Positive
worry,says video private wont let watch,Neutral
worry,power cut thats went,Neutral
worry,legless stillborn spaniels idea sad yrs later strawberries dead puppies,Negative
worry,houses bust house smelled like bowling alley maaad gross house needed new roof basement,Positive
sadness,beneath got cancelled bummer guess wont til cornerstone goign,Neutral
worry,jay im sad night night watching cant watch conan pm,Negative
sadness,boy doc persistent coughs good,Negative
worry,lunch isnt im hungry,Neutral
sadness,eveningpicking npop dinner ta lum tum tum somtummajor avenuedecided homenot clubing tonite,Neutral
worry,need free cant travel north rd street philly buy,Positive
enthusiasm,trying find tonight,Neutral
worry,need share hw love rocking gear,Positive
worry,awful online portuguese test,Negative
sadness,yeah doesnt suck working nano music sad,Negative
worry,wtf cant come race ughh wheres road race sunday,Negative
sadness,car offically gone good bye turquoise topaz missed greatly,Positive
worry,,Neutral
sadness,way home dood dont think crappy vodafone gprs handle yaymencom,Neutral
worry,thats bad luck,Negative
happiness,bwaha far away looks fluffy jareds hairs shinnny,Negative
happiness,hahaha ok hire mom paiseh haha shall washing,Positive
sadness,sadly isnt rodeo dear suspect youve learned lesson,Negative
sadness,bushidokan class got canceled ill sign karate someplace,Neutral
worry,yesmet jon yr interesting quotquestionning agilequot agile session dont yrs schedule,Positive
sadness,wats gooood miss yall,Neutral
worry,come money,Positive
worry,dont feel good sick stomach,Positive
anger,points gear question posted cant rest dreadweave set,Neutral
sadness,day cant slower,Neutral
worry,redskins release jon jansen guy ton sweat bruises team missed,Neutral
worry,im talking bout general wants play,Positive
worry,education doesnt forward repeating past sigh,Negative
worry,got arizona yesterday moved furniture stuff arizona house shipped redwood city sad,Negative
sadness,head starbucks gon na bus paradise starbucks missed minutes,Neutral
sadness,thats good day,Positive
enthusiasm,voc que sumiu forever msn,Neutral
worry,pictures print brown splotches gotten tanks clean prob,Positive
worry,feel extranauseous sudden like stomach wasnt ready resume peristalsis events nights prior,Positive
worry,sure wish cat stop hiding,Positive
sadness,yeah called ask,Neutral
worry,work till daily bankhow free ribfest passes,Positive
anger,quotcatch canquot dvd rented blockbustercom yesterday cracked figured minutes movie,Neutral
worry,oh according laineygossip taylena bc fame gosh poor heartbreaks row,Negative
sadness,,Neutral
sadness,hi ho work,Neutral
sadness,listening album youtube awesome cant buy,Positive
sadness,poor poor mouth,Negative
worry,said online noif online cant bloody win lol,Positive
happiness,weird maybe updates arent sent phone haha,Negative
sadness,going work sucks miss happy hour sonic,Positive
worry,cant believe got rescue group went got,Negative
worry,snap breaking,Neutral
worry,worried sam wants know okay,Positive
worry,gratz tix sux u poor tho trying pj harvey tix debating,Negative
sadness,try pretty hard engage follow lack interesting shit end unfollowed,Positive
sadness,able create itunes acct longer redeem kris allen album note said got canceled,Positive
worry,chris came exactly hour moped left ended falling asleep,Positive
worry,yeah think touched mikes germs sore throat dammit knew gone,Neutral
sadness,mad forgetting deadline mile award trips south america,Negative
sadness,wat stressful week jus hope falls place,Neutral
worry,awww giving sad faces thats feel,Negative
worry,wonders clumsy lately,Negative
worry,miss site,Neutral
worry,wish famous like people im following,Positive
worry,oh shit happy late birthday txt didnt send,Positive
worry,lovers bus late means wont hours later planned,Negative
sadness,mean portfolio sad luck ive applied places far,Negative
sadness,piecing photo quilt boeing employees hung huntington beach sadly people quilt pics laid,Positive
worry,yorks v lancs telly going yorkshire,Neutral
sadness,hah wait till turn,Neutral
worry,pissing annoying date stamp pictures wish id remembered turn,Negative
worry,thinking opening macmaze sources dont time work anymore,Neutral
worry,doh im town cant results mail,Neutral
worry,ruined lunch eating half bag cheddar popcornnow feel sick,Negative
worry,wish pitchfork shutup makes miss spain,Neutral
worry,office hourstrying computer feel better,Positive
worry,work sick im ok mall,Negative
worry,thinking con law fighting headache amp paying bills,Neutral
sadness,saying goodbye year shes awesome helping fit team veritas,Positive
worry,yeah sad,Negative
sadness,miss coffee,Neutral
happiness,great vips acts id enjoy seeing noooo,Positive
worry,going doctors,Neutral
sadness,hey going viewable uk time broke heart couldnt play haha,Positive
sadness,dont forget nash disappointing suns fan,Negative
worry,truck bit dust dont know ill mustangs game tomorrow,Negative
sadness,feel type way cause im talkin,Neutral
worry,burnt tanning ouch,Positive
worry,needs job,Neutral
worry,im hungrydue nights dinneror lack care,Neutral
happiness,sounds soooo good right mmmm malasadas leave today,Positive
sadness,think im gon na try vegetarian againand soda majorly cutback beertoo carbsbut yummyyy,Positive
happiness,goodbye sex city let hurry mi cuz paper work summer bk,Neutral
worry,trousers damp,Neutral
happiness,washer se chingo ha ha im busting grandma lucia waaaaay early lol,Positive
happiness,sounds delicious ill laying patio tom sans pool enjoy burgers,Positive
sadness,yeah huntsville quit jobs job,Neutral
sadness,,Neutral
worry,hanging right bored hahaha didnt work today different hours money lol whatev,Positive
sadness,ive beforesometimes turn things felt forgiving remould cut reform,Positive
sadness,wish nowww grrrrrrr,Neutral
sadness,hi guys da usael notmuch lt sad,Negative
worry,trying figure use twitterim old,Positive
worry,weeks dlc fail cant wait maiden weeks,Negative
sadness,end like poor bus driver kinda weird wish today,Negative
sadness,jealous want free hamburger,Positive
worry,ok interested special popcorn stale waste im going find homeless person,Positive
sadness,dude dont,Neutral
sadness,needs followers,Positive
sadness,grrfatboy slim edc lineup,Neutral
sadness,house ine share,Negative
sadness,yeah agree best aww leeaave,Positive
sadness,esther want deal,Neutral
worry,im siiiiiickkk dun feel good,Positive
anger,annoying want sats concertbut know ill pay,Negative
worry,jet blue okay guess cancel flights dont lot backup planes class,Positive
sadness,checkout linekate amp jon splashed weekly sad,Negative
sadness,thats funny,Negative
worry,eesh sorry hear isnt going travel michigan fun,Negative
sadness,need motivation life oh love nice,Positive
worry,meeting best friend thing morning gym omg shocked hope better soon,Positive
worry,harrump gagging beer wants play,Positive
worry,soooo sunburnt mum earlier wait fell asleep trampoline hours sun u,Neutral
worry,getting ready work think im catching cold yay got ta pull hour shift holla ya tomorrow peace,Negative
worry,man yes brooklyn goes hard longstory short comfy windy,Negative
worry,ugh nd tg bad,Negative
sadness,bye bye south beachu let,Negative
worry,gets tough slum landlordsew backed sewage,Negative
sadness,r squeeze bacon looks like poop,Neutral
happiness,post guitar hero ass kicking,Neutral
worry,becoz leg sprain nta ble proper wrkouts worried shud dis hapen wen satrted dieting,Neutral
worry,,Neutral
sadness,thats fabs gone,Neutral
worry,hi everybody sorry long listening iwas busy,Negative
happiness,happened weeks ago serial card fraudster loose,Negative
sadness,eekkk work,Neutral
worry,sitting valley hummer boo boo,Neutral
sadness,want hang play cant fiddle faddle workload,Neutral
worry,think thats whats wrong stuffed breathe feels like sore throat,Negative
sadness,gosh miss singers theater miss learning music acting exercises n especially miss onstage,Neutral
worry,oh noes tv broken red standby light checked plug fuse inside,Neutral
sadness,feel onei moved recently nearest hour away,Neutral
sadness,gon na suck sober tonight,Positive
sadness,yeah gon na long,Negative
sadness,hr says taking tax checks,Positive
worry,got foxy new brew buddy kitchen gon na smell,Positive
worry,im sorry youre best day working tonight,Positive
sadness,feeling bad profile pic,Negative
worry,im half awake comm theory section wahhhh want bed,Negative
sadness,actually web works fine tweetdeck culprit sadness diff locations,Positive
happiness,enjoying nice weather stuck indoors writing essay,Positive
happiness,congratulations wish happen,Neutral
sadness,hate working sunnyboohoo,Negative
worry,dilated pupils suck computer screen hurts eyes wont comp,Neutral
worry,haha great slept horribly night,Positive
worry,saw squirrel hit car walking bart morningwondering,Neutral
worry,shoppin day got headache got boyfriend style shirt didnt find new bracelet wear,Positive
worry,available area,Negative
worry,dads ask year old sons drinking,Positive
worry,sharing twitter fam wont longer got real busy day cant twitter phone,Positive
sadness,sadly robot songs library,Positive
worry,ive tough sucks live miles away family crave korean homemade meal,Negative
enthusiasm,evenin tweeties phew hot im complaining walked miles town today felt hot n sweaty nice tho,Positive
worry,got busted owner company playing squishy ball deskhe asked needed work busy,Positive
sadness,running past couple days bad knee guitar hero metallica arrived kept amusedtime rock,Negative
sadness,actually better fluffballthegodzilla youtube username ive beaten,Positive
sadness,want bad mcflys concert,Negative
worry,cleaning finding stuff sell im poor,Negative
worry,heart beating irregularly night dont want explode implode,Neutral
worry,hit word mark geography notes im gcse mean ive page history,Negative
sadness,write,Neutral
sadness,curse justin strikes date burton end screwed poor sod,Negative
worry,family home doesnt like missed tbh,Neutral
sadness,mii shit listpermanent mii dude,Negative
worry,forgot charge cell night dead,Negative
worry,dislocated knee badpainful times gas air morphine fun,Positive
worry,im waiting find stands hoping think,Neutral
worry,wan na longboard raining ughhhhhh,Neutral
worry,ohhh wowwww good,Negative
sadness,oh internal sig external email damn,Neutral
worry,think blocked heard tweet,Neutral
sadness,kge day job today wont saying anymore,Neutral
sadness,need stop sick,Negative
worry,feel good today,Positive
worry,translating topic quotquadratic congruencesquot tutorial elementary number theory tutorial omg,Positive
worry,need talk vent let know,Neutral
sadness,miss puppy,Neutral
worry,yes going sophmore college geez cant job cause thinks im,Neutral
worry,hey hey got custom designed kind superfresh somebodies collecting dust,Positive
worry,rofl thats problem hands,Positive
sadness,looks better short hair,Positive
sadness,ah remember days youd sleep noon guess today god feel like loser,Neutral
worry,sore throat headache starting friday good sign,Negative
worry,summer makes feel ugly pretty people showin good genes damn hell,Positive
worry,feeling need advil,Positive
sadness,lol staying craig got footy molly missing good weather buggy,Positive
worry,watchin hollyoakspoor justin,Neutral
worry,ohhhh ouch dude got drunk night didnt context sorry dude,Negative
sadness,got caught rain outside im cold bbbrrr,Negative
sadness,goodbye picnic classmate today weather fucking beautifuul,Negative
sadness,school im gon na miss bunch people,Neutral
worry,dana found doesnt lunch hour hello delivery,Neutral
worry,im sure tweet business simple things difficult,Negative
happiness,car home yay boo im paying mom installments gave today need win lottery,Positive
happiness,forgot answer kindle question yesterday honestly havent paperback books want read,Positive
worry,nataliaflewell hey bored pain god love life screwd,Neutral
worry,st day work today bit tiring ok lol college work,Positive
worry,oh dont hurt,Neutral
sadness,ive got sunburn arm better news new guitar hero metallica game came happy,Positive
anger,hella wanted sausage mcmuffin gt breakfast,Neutral
worry,ones gone husband whos going leave box office random,Negative
sadness,im missing work want pix,Negative
sadness,omg realised listening quotperfect storyquot penny liked dr horrible damn captain hammer omg im sad,Negative
worry,ouch im sorry,Negative
worry,horrible didnt ask u u didnt laugh hurt little inside pints heart,Negative
worry,road hours ahead beautiful girl,Positive
sadness,schools works,Neutral
worry,think like million degrees lt,Neutral
worry,sad neighbors cut trees house looked pretty healthy tragic,Negative
worry,dont think friends like anymore,Neutral
worry,throat hurts,Neutral
sadness,business day month wrong time new tags people,Negative
worry,class almostt,Neutral
worry,wishing technology wasnt complicated,Negative
worry,problems sending images twitterberry doesnt want work xxx,Neutral
worry,looking new laptop battery expensive,Negative
worry,guys dead cant load,Negative
sadness,ticket pickings lookin slim soo prob,Neutral
sadness,heading work friday,Neutral
happiness,welli love zoo p dont think sunday want,Positive
worry,come,Neutral
sadness,couch hungoverdont expect today,Positive
worry,sorrry im ready leave,Positive
sadness,bad day tt gyah car babyclient teething miserable forgot pack lunch new car,Negative
sadness,flash lost frisby roof sad days lol,Positive
worry,aim working network problems,Negative
sadness,im officeand sun shining,Neutral
worry,tall ups downs legs pain,Neutral
worry,geez sorry hear steph hope things improve soon know aint sorry,Negative
